,create_date,location_name,msg
0,2023-04-30 21:01,충청북도 보은군,[보은군청] 4월30일 19:03 옥천군 지진발생에 따른 피해 발생시 신고바람. 여진 등 안전에 주의
1,2023-04-30 19:57,충청북도 옥천군,[옥천군] 4월 30일 19:03 충북 옥천군 동쪽 16km 지역 규모 3.1 지진발생/추가 지진 발생상황에 유의 바람
2,2023-04-30 19:06,"경상북도 전체,대구광역시 전체,대전광역시 전체,전라북도 전체,충청남도 전체,충청북도 전체,세종특별자치시",[기상청]04월30일19:03 충북 옥천군 동쪽 16km 지역 규모3.1 지진발생/추가 지진 발생상황에 유의 바람
3,2023-04-30 17:00,경상남도 통영시,[통영시]건조한 날씨와 부주의로 인한 산불발생 위험이 높으니▲생활쓰레기 및 논밭두렁 소각금지▲입산 시 화기 소지금지 등 산불예방에 적극 참여하여 주시기 바랍니다.
4,2023-04-30 10:03,,"[경기남부경찰청] 수원시에서 실종된 이지흔씨(여, 61세)를 찾습니다 - 170cm, 58kg, 짧은백발머리, 7부회색바지 vo.la/KF9wa / ☎182"
5,2023-04-30 8:36,부산광역시 기장군,"[기장군청] 금일 07:30~11:30 바다마라톤 대회 진행중. 구 국도31호선(장안읍 길천리~일광읍 이동마을) 해안도로 통제중이오니, 안전에 유의바랍니다."
6,2023-04-30 8:17,경기도 파주시,"[경기북부경찰청] 파주시에서 배회중인 김인숙씨(여, 84세)를 찾습니다-153cm, 45kg, 분홍잠바,검정바지,파란색보행기 vo.la/ApzgC / ☎182"
7,2023-04-30 8:16,,"[경기북부경찰청] 고양시에서 실종된 김인숙씨(여, 84세)를 찾습니다 -153cm, 45kg, 분홍잠바,검정바지,파란색보행기 vo.la/ApzgC / ☎182"
8,2023-04-29 22:53,충청북도 보은군,[보은군] 오늘 22시경 속리산면 일대 정전 복구가 완료되었습니다.
9,2023-04-29 21:24,충청북도 보은군,"[보은군] 오늘 19시경 속리산면 일대에 정전이 발생되어 복구 중이니, 전기기기의 모든 전원을 끄고 손전등을 사용하는 등 안전사고 발생에 유의하시기 바랍니다."
10,2023-04-29 19:32,충청남도 아산시,"[충남경찰청] 아산시에서 배회중인 노영은씨(여,37세)를 찾습니다-164cm,체크무늬셔츠,청색바지,검정신발,검정뿔테안경 vo.la/iRuvS / ☎182"
11,2023-04-29 16:58,서울특별시 도봉구,"[서울경찰청] 도봉구에서 배회중인 강인철씨(남,39세)를 찾습니다 -183cm,80kg,파란색긴팔,청바지,흰운동화 vo.la/KUwnb / ☎182"
12,2023-04-29 16:57,서울특별시 노원구,"[서울경찰청] 노원구에서 실종된 강인철씨(남,39세)를 찾습니다 -183cm,80kg,파란색긴팔,청바지,흰운동화 vo.la/KUwnb / ☎182"
13,2023-04-29 13:58,인천광역시 부평구,"[인천경찰청] 부평구에서 배회중인 윤무남씨(남,81세)를 찾습니다-160cm,55kg,검정계열 상하의,등산스틱,구르마소지 vo.la/PEmNW / ☎182"
14,2023-04-29 13:57,인천광역시 서구,"[인천경찰청] 서구에서 실종된 윤무남씨(남,81세)를 찾습니다 -160cm,55kg,검정계열 상하의,등산스틱,구르마소지 vo.la/PEmNW / ☎182"
15,2023-04-29 9:21,경기도 평택시,"[경기남부경찰청] 평택시에서 배회중인 김위순씨(여,63세)를 찾습니다-165cm,50kg,검정점퍼,검정치마바지 vo.la/bZNUU / ☎182"
16,2023-04-29 9:14,,"[충남경찰청] 천안시에서 실종된 노영은씨(여,37세)를 찾습니다-164cm,체크무늬셔츠,청색바지,검정신발,검정뿔테안경 vo.la/iRuvS / ☎182"
17,2023-04-28 21:47,서울특별시 종로구,[종로구] 지진발생 재난 훈련 메세지 전달 되었습니다. 훈련메시지입니다. 실제상황이 아닙니다. 지진실제 상황이 아닌 훈련메시지 전파중 착오사항입니다. 정정합니다.
18,2023-04-28 21:38,서울특별시 종로구,[종로구] 4월 28일 21:05 지진발생/추가 지진 발생상황에 유의 바람-종로구
19,2023-04-28 18:01,경상북도 영덕군,"[영덕군청]4.29(토)~30(일)연안사고 주의보 발령. 해안가 너울 파도로 인명 피해 우려, 낚시,야영,방문객등 안전에 주의 바랍니다.(054-502-2348)"
20,2023-04-28 17:56,경기도 부천시,"[부천시] 오늘 17시 35분 춘의역 인근에서 발생한 차량 충돌 사고 수습으로 인근 도로 혼잡 예상, 차량 우회 바랍니다."
21,2023-04-28 17:34,경상북도 울진군,"[울진군청] 4.29(토)~30(일) 연안사고 주의보 발령. 해안가 너울 파도로 인명피해 우려, 낚시 야영 방문객 등 안전에 주의 바람.(054-502-2348)"
22,2023-04-28 16:40,,[청주시] 오늘 15시경 청주시 상당구 미원면 월용리 산30 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.
23,2023-04-28 15:02,제주특별자치도 제주시,"[제주경찰청] 제주시에서 실종된 이유진(여,15세)을 찾습니다-159cm,55kg,검정색계열옷,검정가방,흰운동화 vo.la/VNMBo / ☎182"
24,2023-04-28 14:46,제주특별자치도 제주시,"[제주경찰청] 제주시에서 실종된 김리아(여,15세)를 찾습니다-160cm,64kg,회색후드,검정색상하의,밝은계열가방 vo.la/VkHEH / ☎182"
25,2023-04-28 12:29,인천광역시 계양구,"[계양구] 오늘 12:02경 인천 계양구 귤현동 415 화재 발생. 인근 주민께서는 안전에 유의하시기 바라며, 차량 통행에 주의하여 주시기 바랍니다."
